variant,horizon_days,n_periods,annualized_alpha,annualized_return,cagr,information_ratio,sharpe,hit_rate,avg_alpha,max_drawdown,commodity_type,n_tickers
convexity,63,519,0.17836562926364036,0.3534123992314095,0.3798114593680404,0.8045217844558303,1.8245867424430873,0.697495183044316,0.04459140731591009,-1.982295246536978,oil_gas_upstream,57
convexity,126,519,0.17818399194317613,0.3692216018000001,0.3950874041249077,1.171448136848671,2.917075611222293,0.8342967244701349,0.08909199597158807,-0.18991183936664413,oil_gas_upstream,57
market_event,21,519,0.17346068461775782,0.34019229196766887,0.37427132778616645,0.7520990702146041,1.7904843457055721,0.6242774566473989,0.014455057051479817,-0.9413520760303324,oil_gas_upstream,57
market_event,126,519,0.16990293554162364,0.3609405453984476,0.3863633049865556,1.1532405037357942,3.039061040607228,0.838150289017341,0.08495146777081182,-0.13840276107370642,oil_gas_upstream,57
market_event,42,504,0.16815557259446848,0.3471943899201203,0.31309568691109857,0.43796743275648187,0.9784499054798399,0.6190476190476191,0.028025928765744747,-4.230907504047109,precious_metals,32
market_only,126,519,0.16752376719156353,0.3585613770483875,0.3835535543035036,1.1412650865481861,3.017156406557431,0.8304431599229287,0.08376188359578177,-0.13840276107370642,oil_gas_upstream,57
market_only,21,519,0.1665950066415355,0.3333266139914465,0.3724777572016069,0.8035234999422712,2.072604633461715,0.5973025048169557,0.013882917220127959,-0.864772559297597,oil_gas_upstream,57
market_only,42,520,0.16297300413848417,0.33671685706399296,0.36805922316829376,0.7380908985065304,1.8970513574786843,0.6365384615384615,0.027162167356414028,-1.9569458036672565,oil_gas_upstream,57
convexity,42,504,0.16266063906618172,0.3416994563918336,0.3021252453759702,0.4233058287630412,0.9475646979015839,0.6111111111111112,0.02711010651103029,-5.487253076707017,precious_metals,32
full_cross_market,42,520,0.16177821223911396,0.33882200195417544,0.35683942004842173,0.6326120823365747,1.4713941943541564,0.6173076923076923,0.02696303537318566,-1.6570380419153317,oil_gas_upstream,57
full_cross_market,126,519,0.16040691370592322,0.35144452356274714,0.3661587423845081,0.8725937797499862,2.049576027456252,0.791907514450867,0.08020345685296161,-1.032901552261002,oil_gas_upstream,57
market_event,42,520,0.1587990700792752,0.3301253175637608,0.35437704701372486,0.6601568549548552,1.654620025899974,0.625,0.026466511679879203,-2.489406447936105,oil_gas_upstream,57
convexity,21,504,0.1566103838741773,0.32830424144283565,0.3216317035915697,0.487935619711411,1.0920615552875883,0.5416666666666666,0.01305086532284811,-4.413698791486361,oil_services,21
full_cross_market,63,519,0.15500289507840298,0.33004966504617217,0.34137454378306664,0.6172072175878522,1.4396949544289297,0.651252408477842,0.038750723769600745,-2.4116227943231507,oil_gas_upstream,57
market_event,5,518,0.15301050226330026,0.30860557211796413,0.29450081571407716,0.4598925341613464,0.9590635881081792,0.5077220077220077,0.00303592266395437,-0.9636452944416041,base_metals,38
full_cross_market,126,504,0.15063980084287384,0.3473630538501985,0.3266699133647082,0.4381313479561828,1.1724137843908835,0.6845238095238095,0.07531990042143692,-8.281426001824599,oil_services,21
